,USGS 11087020,LACDPW F313B,LACDPW G44B,Rincon Ditch Company Well 4,San Gabriel Valley Water Company Well B2,City of Whittier Well 18,City of Whittier Well 15,SJC-001,SJC-002,WN001,POM001
BW 1-1,1959.882,4778.814,4101.329,6175.089,1749.882,4561.610,3663.400,15901.416,1391.932,4221.942,25835.529
BW 1-2,1896.882,4715.814,4038.329,6112.089,1686.882,4498.610,3600.400,15838.416,1328.932,4158.942,25772.529
AW 1-1,1413.882,4232.814,3555.329,5629.089,1203.882,4015.610,3117.400,15355.416,845.932,3675.942,25289.529
AW 1-2,1761.882,4580.814,3903.329,5977.089,1551.882,4363.610,3465.400,15703.416,1193.932,4023.942,25637.529
SW 1-2,1509.882,4328.814,3651.329,5725.089,1299.882,4111.610,3213.400,15451.416,941.932,3771.942,25385.529
BW 1-4,1476.882,4295.814,3618.329,5692.089,1266.882,4078.610,3180.400,15418.416,908.932,3738.942,25352.529
SW 1-3R,1434.882,4253.814,3576.329,5650.089,1224.882,4036.610,3138.400,15376.416,866.932,3696.942,25310.529
BW 1-10R,1455.882,4274.814,3597.329,5671.089,1245.882,4057.610,3159.400,15397.416,887.932,3717.942,25331.529
MF 1-1R,1370.954,4189.886,3512.401,5586.160,1160.954,3972.682,3074.472,15312.488,803.004,3633.014,25246.601
MF 1-2RR,1677.882,4496.814,3819.329,5893.089,1467.882,4279.610,3381.400,15619.416,1109.932,3939.942,25553.529
SW 1-1,1710.882,4529.814,3852.329,5926.089,1500.882,4312.610,3414.400,15652.416,1142.932,3972.942,25586.529
BW 1-3,1713.882,4532.814,3855.329,5929.089,1503.882,4315.610,3417.400,15655.416,1145.932,3975.942,25589.529
AW 1-7,1632.882,4451.814,3774.329,5848.089,1422.882,4234.610,3336.400,15574.416,1064.932,3894.942,25508.529
AW 1-4R,1352.954,4171.886,3494.401,5568.160,1142.954,3954.682,3056.472,15294.488,785.004,3615.014,25228.601
MF 1-3R,1713.882,4532.814,3855.329,5929.089,1503.882,4315.610,3417.400,15655.416,1145.932,3975.942,25589.529
BW 1-5,1014.932,3833.864,3156.379,5230.138,804.932,3616.660,2718.450,14956.466,776.982,3276.992,25220.579
SW 1-4,996.932,3815.864,3138.379,5212.138,786.932,3598.660,2700.450,14938.466,794.982,3258.992,25238.579
SW 1-6,1053.932,3872.864,3195.379,5269.138,843.932,3655.660,2757.450,14995.466,737.982,3315.992,25181.579
BW 1-6,948.932,3767.864,3090.379,5164.138,738.932,3550.660,2652.450,14890.466,842.982,3210.992,25286.579
BW-1-7R,786.932,3605.864,2928.379,5002.138,576.932,3388.660,2490.450,14728.466,1004.982,3048.992,25448.579
MF-1-4,831.932,3650.864,2973.379,5047.138,621.932,3433.660,2535.450,14773.466,959.982,3093.992,25403.579
BW-1-8R,822.932,3641.864,2964.379,5038.138,612.932,3424.660,2526.450,14764.466,968.982,3084.992,25412.579
BW-2-1R,300.000,3118.932,2441.447,4515.206,90.000,2901.728,2003.518,14241.534,1491.914,2562.060,25935.511
MF-2-1R,216.000,3034.932,2357.447,4431.206,6.000,2817.728,1919.518,14157.534,1575.914,2478.060,26019.511
AW 1-5,759.932,3578.864,2901.379,4975.138,549.932,3361.660,2463.450,14701.466,1031.982,3021.992,25475.579
AW 1-6,672.932,3491.864,2814.379,4888.138,462.932,3274.660,2376.450,14614.466,1118.982,2934.992,25562.579
SW 1-5,501.000,3319.932,2642.447,4716.206,291.000,3102.728,2204.518,14442.534,1290.914,2763.060,25734.511
BW 1-9,5392.024,2573.092,5684.629,7758.389,5602.024,6144.910,3688.506,17484.716,7183.938,5805.242,31627.534
BW-2-4,12.000,2806.932,2129.447,4203.206,222.000,2589.728,1691.518,13929.534,1803.914,2250.060,26247.511
BW-2-5,27.000,2791.932,2114.447,4188.206,237.000,2574.728,1676.518,13914.534,1818.914,2235.060,26262.511
BW-2-3,51.000,2767.932,2090.447,4164.206,261.000,2550.728,1652.518,13890.534,1842.914,2211.060,26286.511
BW-2-2,90.000,2728.932,2051.447,4125.206,300.000,2511.728,1613.518,13851.534,1881.914,2172.060,26325.511
AW-2-1,174.000,2644.932,1967.447,4041.206,384.000,2427.728,1529.518,13767.534,1965.914,2088.060,26409.511
BW-2-9,243.000,2575.932,1898.447,3972.206,453.000,2358.728,1460.518,13698.534,2034.914,2019.060,26478.511
AW-2-2,300.000,2518.932,1841.447,3915.206,510.000,2301.728,1403.518,13641.534,2091.914,1962.060,26535.511
BW-2-8,327.000,2491.932,1814.447,3888.206,537.000,2274.728,1376.518,13614.534,2118.914,1935.060,26562.511
BW-2-7,378.000,2440.932,1763.447,3837.206,588.000,2223.728,1325.518,13563.534,2169.914,1884.060,26613.511
BW-2-6,481.902,2337.030,1659.545,3733.304,691.902,2119.826,1221.615,13459.632,2273.817,1780.158,26717.413
MF-5-2R (1),2847.685,28.753,3140.291,5214.050,3057.685,3600.572,1144.168,14940.378,4639.600,3260.904,29083.196
BW-3-4,351.000,2467.932,1790.447,3864.206,561.000,2250.728,1352.518,13590.534,2142.914,1911.060,26586.511
BW-3-5,469.282,2349.650,1672.165,3745.924,679.282,2132.446,1234.236,13472.252,2261.196,1792.778,26704.793
AW-3-1,463.282,2355.650,1678.165,3751.924,673.282,2138.446,1240.236,13478.252,2255.196,1798.778,26698.793
BW 2-10R,351.000,2467.932,1790.447,3864.206,561.000,2250.728,1352.518,13590.534,2142.914,1911.060,26586.511
BW-3-6,499.902,2319.030,1641.545,3715.304,709.902,2101.826,1203.615,13441.632,2291.817,1762.158,26735.413
BW-3-7,514.902,2304.030,1626.545,3700.304,724.902,2086.826,1188.615,13426.632,2306.817,1747.158,26750.413
BW-3-8,589.902,2229.030,1551.545,3625.304,799.902,2011.826,1113.615,13351.632,2381.817,1672.158,26825.413
BW-3-1,577.902,2241.030,1563.545,3637.304,787.902,2023.826,1125.615,13363.632,2369.817,1684.158,26813.413
MF-3-1,647.018,2171.914,1494.429,3568.188,857.018,1954.710,1056.500,13294.516,2438.932,1615.042,26882.529
BW-3-3,704.018,2114.914,1437.429,3511.188,914.018,1897.710,999.500,13237.516,2495.932,1558.042,26939.529
BW-3-9,842.981,1975.951,1298.466,3372.225,1052.981,1758.747,860.536,13098.553,2634.896,1419.079,27078.492
BW-3-10,920.981,1897.951,1220.466,3294.225,1130.981,1680.747,782.536,13020.553,2712.896,1341.079,27156.492
BW-3-2,1137.421,2107.511,1004.026,3077.786,1347.421,1464.307,992.097,12804.113,2929.335,1124.639,27372.931
MF-3-2,1495.274,2465.365,646.173,2719.932,1705.274,1106.454,1349.950,12446.260,3287.188,766.786,27730.785
SY-3-1,1384.274,2354.365,757.173,2830.932,1594.274,1217.454,1238.950,12557.260,3176.188,877.786,27619.785
BE-3-1,1444.274,2414.365,697.173,2770.932,1654.274,1157.454,1298.950,12497.260,3236.188,817.786,27679.785
BW-3-11,1486.274,2456.365,655.173,2728.932,1696.274,1115.454,1340.950,12455.260,3278.188,775.786,27721.785
BW-4-1,1903.105,2873.195,238.342,2312.102,2113.105,698.623,1757.781,12038.429,3695.019,358.955,28138.615
SW-4-1,1921.105,2891.195,220.342,2294.102,2131.105,680.623,1775.781,12020.429,3713.019,340.955,28156.615
AW-5-4,2312.635,3282.725,215.430,2289.189,2522.635,289.093,2167.311,12015.517,4104.549,50.575,28548.146
MF-5-5,2303.635,3273.725,206.430,2280.189,2513.635,298.093,2158.311,12006.517,4095.549,41.575,28539.146
BW-5-5,2294.635,3264.725,197.430,2271.189,2504.635,307.093,2149.311,11997.517,4086.549,32.575,28530.146
BW-5-3,2289.060,3259.150,191.855,2265.614,2499.060,312.668,2143.736,11991.942,4080.974,27.000,28524.571
BW-5-10,2289.060,3259.150,191.855,2265.614,2499.060,312.668,2143.736,11991.942,4080.974,27.000,28524.571
AW-5-6,2312.635,3282.725,215.430,2289.189,2522.635,289.093,2167.311,12015.517,4104.549,50.575,28548.146
BW-5-11,2286.060,3256.150,188.855,2262.614,2496.060,315.668,2140.736,11988.942,4077.974,24.000,28521.571
BW-5-4,2289.060,3259.150,191.855,2265.614,2499.060,312.668,2143.736,11991.942,4080.974,27.000,28524.571
BW-4-2,2389.592,3359.683,248.145,1825.614,2599.592,752.668,2244.268,11551.942,4181.506,413.000,28625.103
AW-4-R alt,2401.592,3371.683,260.145,1813.614,2611.592,764.668,2256.268,11539.942,4193.506,425.000,28637.103
BW-4-3,2434.592,3404.683,293.145,1780.614,2644.592,797.668,2289.268,11506.942,4226.506,458.000,28670.103
BW-4-4,2501.178,3471.269,359.731,1714.028,2711.178,864.254,2355.854,11440.356,4293.092,524.586,28736.689
SW-4-2,10708.386,7889.454,11000.992,13074.751,10918.386,11461.273,9004.868,22801.079,12500.300,11121.605,36943.897
BW-4-9,2549.055,3519.145,407.608,1666.152,2759.055,912.131,2403.731,11392.479,4340.969,572.463,28784.566
BW-4-5,2622.278,3592.369,480.831,1592.928,2832.278,985.354,2476.954,11319.256,4414.192,645.686,28857.789
BW-4-6,2681.817,3651.908,540.370,1533.389,2891.817,1044.893,2536.494,11259.717,4473.732,705.225,28917.328
AW-4-3,2835.031,3805.122,693.584,1380.175,3045.031,1198.107,2689.707,11106.503,4626.945,858.439,29070.542
BW-4-7,2934.242,3904.333,792.795,1280.964,3144.242,1297.318,2788.919,11007.292,4726.157,957.650,29169.753
BW-4-8,2949.242,3919.333,807.795,1265.964,3159.242,1312.318,2803.919,10992.292,4741.157,972.650,29184.753
MF-4-1R,3085.100,4055.190,943.652,1251.397,3295.100,1448.176,2939.776,10856.434,4877.014,1108.508,29320.610
AW-4-1,2601.278,3571.369,459.831,1613.928,2811.278,964.354,2455.954,11340.256,4393.192,624.686,28836.789
MF-5-1,981.734,1837.198,1274.339,3348.099,1191.734,1734.620,721.784,13074.426,2773.648,1394.952,27217.244
MF-5-6,1196.360,1622.572,1488.966,3562.725,1406.360,1949.247,507.157,13289.053,2988.274,1609.579,27431.871
AW-5-1,1402.548,1416.384,1695.153,3768.913,1612.548,2155.434,300.970,13495.240,3194.462,1815.766,27638.058
BE-5-1,1399.268,1419.664,1691.874,3765.633,1609.268,2152.155,304.250,13491.961,3191.182,1812.487,27634.779
AW-5-2,1420.548,1398.384,1713.153,3786.913,1630.548,2173.434,282.970,13513.240,3212.462,1833.766,27656.058
SY-5-1,2219.477,599.455,2512.083,4585.842,2429.477,2972.363,515.959,14312.170,4011.391,2632.695,28454.988
BE-5-2,2239.943,578.989,2532.549,4606.308,2449.943,2992.830,536.426,14332.636,4031.858,2653.162,28475.454
BW-5-8,3444.990,626.058,3737.596,5811.355,3654.990,4197.876,1741.472,15537.682,5236.904,3858.208,29680.501
BW-5-9,3405.233,586.301,3697.839,5771.598,3615.233,4158.120,1701.716,15497.926,5197.147,3818.452,29640.744
AW-5-5,3378.233,559.301,3670.839,5744.598,3588.233,4131.120,1674.716,15470.926,5170.147,3791.452,29613.744
BW-5-7,3472.636,653.704,3765.242,5839.001,3682.636,4225.523,1769.118,15565.329,5264.550,3885.855,29708.147
BW-5-6,3481.636,662.704,3774.242,5848.001,3691.636,4234.523,1778.118,15574.329,5273.550,3894.855,29717.147
MF-5-4,3472.636,653.704,3765.242,5839.001,3682.636,4225.523,1769.118,15565.329,5264.550,3885.855,29708.147
BW-5-1,3450.990,632.058,3743.596,5817.355,3660.990,4203.876,1747.472,15543.682,5242.904,3864.208,29686.501
AW-5-3,3396.233,577.301,3688.839,5762.598,3606.233,4149.120,1692.716,15488.926,5188.147,3809.452,29631.744
SW-5-1,3374.445,555.513,3667.051,5740.810,3584.445,4127.331,1670.927,15467.137,5166.359,3787.663,29609.956
BE-5-4,3411.233,592.301,3703.839,5777.598,3621.233,4164.120,1707.716,15503.926,5203.147,3824.452,29646.744
BE-5-3,3318.026,499.094,3610.632,5684.391,3528.026,4070.913,1614.508,15410.719,5109.940,3731.244,29553.537
MF-5-3,3336.984,518.052,3629.590,5703.349,3546.984,4089.871,1633.467,15429.677,5128.899,3750.203,29572.495
